dictionary_id,dataset,domain,concept,variable_name,source_component,cycle_or_release,definition,allowed_values,units,derivation_rule,missingness_rule,analysis_role,codebook_status,qa_status,notes
NHANES_BODY_001,NHANES,body_measures,height,BMXHT,BMX,2007-2012 E/F/G,Standing height.,numeric,cm,Direct from BMX.,Flag implausible values; missing excluded from respiratory residualization.,covariate,locked_codebook_v0_1,official_html_verified,Needed for PEF residualization.
NHANES_BODY_002,NHANES,body_measures,weight,BMXWT,BMX,2007-2012 E/F/G,Body weight.,numeric,kg,Direct from BMX.,Flag implausible values.,covariate,locked_codebook_v0_1,official_html_verified,Body-size covariate.
NHANES_BODY_003,NHANES,body_measures,bmi,BMXBMI,BMX,2007-2012 E/F/G,Body mass index.,numeric,kg/m2,Use official BMI.,Missing if invalid exam measure.,covariate_or_component,locked_codebook_v0_1,official_html_verified,Metabolic/body-size covariate.
NHANES_BODY_004,NHANES,body_measures,waist_circumference,BMXWAIST,BMX,2007-2012 E/F/G,Waist circumference.,numeric,cm,Direct from BMX.,Missing if invalid exam measure.,metabolic_component,locked_codebook_v0_1,official_html_verified,Optional metabolic domain.
NHANES_SMOKE_001,NHANES,behavioral_risk,current_smoking,SMQ020;SMQ040,SMQ,2007-2012 E/F/G,Current smoking status.,yes/no/current frequency,category,Current smoker if SMQ020 == 1 and SMQ040 indicates every day or some days.,Refused/don't know to missing.,covariate,locked_codebook_v0_1,official_html_verified,Core confounder.
NHANES_SMOKE_002,NHANES,behavioral_risk,former_smoking,SMQ020;SMQ040,SMQ,2007-2012 E/F/G,Former smoking status.,yes/no/current frequency,category,Former smoker if SMQ020 == 1 and SMQ040 indicates not at all.,Refused/don't know to missing.,covariate,locked_codebook_v0_1,official_html_verified,Core confounder.
NHANES_SMOKE_003,NHANES,behavioral_risk,smoking_intensity,SMD030;SMD055;SMD057;SMD650,SMQ,2007-2012 E/F/G,Smoking duration/intensity candidates.,numeric age and cigarettes/day,years;cigarettes/day,Use intensity sensitivity only after pack-year derivation rule is prespecified.,Refused/don't know to missing.,covariate_or_sensitivity,locked_codebook_v0_1_optional,official_html_verified,Avoid invented pack-years in primary model.
NHANES_LAB_001,NHANES,inflammation_metabolic,white_blood_cell_count,LBXWBCSI,CBC,2007-2012 E/F/G,White blood cell count.,numeric,1000 cells/uL,Direct from CBC.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional inflammation domain.
NHANES_LAB_002,NHANES,inflammation_metabolic,neutrophils,LBXNEPCT;LBXWBCSI,CBC,2007-2012 E/F/G,Neutrophil percent/count candidate.,numeric,percent;1000 cells/uL,Neutrophil count = LBXWBCSI * LBXNEPCT / 100 if needed.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional NLR/SII component.
NHANES_LAB_003,NHANES,inflammation_metabolic,lymphocytes,LBXLYPCT;LBXWBCSI,CBC,2007-2012 E/F/G,Lymphocyte percent/count candidate.,numeric,percent;1000 cells/uL,Lymphocyte count = LBXWBCSI * LBXLYPCT / 100 if needed.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional NLR/SII component.
NHANES_LAB_004,NHANES,inflammation_metabolic,platelets,LBXPLTSI,CBC,2007-2012 E/F/G,Platelet count.,numeric,1000 cells/uL,Direct from CBC.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional SII component.
NHANES_LAB_005,NHANES,inflammation_metabolic,crp,NOT_IN_CORE_V0_1,CRP_or_inflammation,deferred,C-reactive protein concept.,not_applicable,not_applicable,Not included in V0.1 core mapping because comparable full-cycle availability across 2007-2012 is not locked here.,not_applicable,component_optional_deferred,deferred_not_core_v0_1,not_applicable,Can be revisited as a separate lab-specific mapping.
NHANES_LAB_006,NHANES,inflammation_metabolic,glucose_or_hba1c,LBXGH,GHB,2007-2012 E/F/G,Glycohemoglobin.,numeric,percent,Direct from GHB.,Document assay notes and missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional metabolic marker.
NHANES_LAB_007,NHANES,inflammation_metabolic,lipids,LBXTC;LBDHDD,TCHOL;HDL,2007-2012 E/F/G,Total cholesterol and HDL cholesterol.,numeric,mg/dL,Direct from TCHOL and HDL.,Document missingness and assay notes.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional metabolic markers; fasting triglycerides excluded from core.
NHANES_LAB_008,NHANES,inflammation_metabolic,albumin_or_nutrition_marker,LBXSAL,BIOPRO,2007-2012 E/F/G,Albumin.,numeric,g/dL,Direct from BIOPRO.,Document missingness.,component_optional,locked_codebook_v0_1_optional,official_html_verified,Optional nutrition/inflammation marker.
NHANES_FUNC_001,NHANES,function,functional_limitation,PFQ061A;PFQ061B;PFQ061C;PFQ061F;PFQ061G;PFQ061H;PFQ061I;PFQ061J;PFQ061K;PFQ061L;DPQ010;DPQ020;DPQ030;DPQ040;DPQ050;DPQ060;DPQ070;DPQ080;DPQ090;PAQ605;PAQ620;PAQ635;PAQ650;PAQ665,PFQ;DPQ;PAQ,2007-2012 E/F/G,"Functional limitation, depression, and low-activity frailty proxy candidates.",ordinal/binary/score,mixed,"Build NHANES frailty proxy from mobility/ADL difficulty, PHQ-9 >=10, and low physical activity; no grip component available in this mapping.",Item-specific refused/don't know to missing.,outcome_or_covariate,partial_proxy_locked_v0_1,official_html_verified,"Proxy construct, not identical to CHARLS frailty proxy."
NHANES_MORT_001,NHANES,mortality,death_status,NOT_IN_CORE_V0_1,mortality_linkage,deferred,Death status from linked mortality.,not_applicable,binary,Not included in V0.1 NHANES cross-sectional replication mapping.,not_applicable,outcome_optional,deferred_not_core_v0_1,not_applicable,Can be added after public-use linked mortality file terms and variables are locked.
NHANES_MORT_002,NHANES,mortality,followup_time,NOT_IN_CORE_V0_1,mortality_linkage,deferred,Follow-up time from linked mortality.,not_applicable,time,Not included in V0.1 NHANES cross-sectional replication mapping.,not_applicable,outcome_time_optional,deferred_not_core_v0_1,not_applicable,Can be added after mortality linkage lock.
